"id","dist_a","dist_b","tiempo_a","tiempo_b","delta_ms","primero","etiqueta"
1,16.1,15.83,5580,3586,-1994,"B","entrada"
2,10.05,11.08,8353,7141,-1212,"B","entrada"
3,16.1,18.38,10644,10588,-56,"B","entrada"
4,19.91,15.85,23153,23038,-115,"B","entrada"
5,16.43,19.65,25147,25147,0,"A","salida"
6,14.44,14.15,216605,216549,-56,"B","entrada"
7,16.43,16.16,218991,218991,0,"A","salida"
8,15.78,18.06,221693,221693,0,"A","salida"
9,16.1,16.48,223952,223952,0,"A","salida"
10,16.43,114.65,235597,235478,-119,"B","entrada"
11,13.1,15.83,238092,237919,-173,"B","entrada"
12,17.39,155.02,240281,240158,-123,"B","entrada"
13,17.37,131.21,241905,241842,-63,"B","entrada"
14,11.73,16.14,244654,244539,-115,"B","entrada"
15,16.1,156.37,246650,246469,-181,"B","entrada"
16,17.7,15.83,249013,248720,-293,"B","entrada"
17,16.74,10.12,251257,251143,-114,"B","entrada"
18,20.13,7.82,253431,253259,-172,"B","entrada"
19,35.83,28.18,256307,256063,-244,"B","entrada"
20,49.03,23.36,257868,259690,1822,"A","salida"
21,22.72,16.79,262878,262646,-232,"B","entrada"
22,18.32,119.62,265233,264872,-361,"B","entrada"
23,16.74,13.46,269083,267291,-1792,"B","entrada"
24,16.74,55.81,271203,271019,-184,"B","entrada"
